"№","エリア","企業名","代表者名","URL","問い合わせフォームURL","送信日","送信○×","送信不可理由"
"1","大阪市（西区）","株式会社ZIZO","川口 智士","https://www.zizo.ne.jp/","https://www.zizo.ne.jp/contact/","","",""
"2","大阪市（中央区）","ブレーメン株式会社","","https://bremen.co.jp/","https://bremen.co.jp/contact/","","",""
"3","大阪市（中央区）","株式会社TREVO","","https://trevo-web.com/","https://trevo-web.com/contact/","","",""
"4","大阪市（北区）","有限会社アイエムジーフロー","","https://imgflow.co.jp/","https://imgflow.co.jp/contact/","","",""
"5","大阪市（西区）","株式会社メガホン","","https://www.megaphone.co.jp/","","","",""
"6","大阪市（中央区）","株式会社アン","","https://www.an-web.com/","","","",""
"7","大阪市（淀川区）","株式会社バリューエージェント","","https://valueagent.co.jp/","https://valueagent.co.jp/contact","","",""
"8","大阪市（中央区）","株式会社シイテ","","https://siiite.co.jp/","","","",""
"9","大阪市（中央区）","STAR株式会社","","https://s-t-a-r.co.jp/","https://s-t-a-r.co.jp/contact","","",""
"10","大阪市（西区）","株式会社ウェブカラ","","https://web-color.co.jp/","","","",""
"11","大阪市（北区）","株式会社レッツアイ","","https://letsi.co.jp/","https://letsi.co.jp/contact","","",""
"12","大阪市（鶴見区）","スーパーグラフィックス","","https://super-graphics.com/","","","",""
"13","大阪市（淀川区）","プラカン","","https://plucan.net/","","","",""
"14","大阪市（北区）","TSUKI WEB","","https://tsuki-web.com/","","","",""
"15","大阪市（淀川区）","株式会社Higherfield","高野 善男","https://higherfield.co.jp/","https://higherfield.co.jp/contact","","",""
"16","大阪市内","M-lab","","https://www.m-lab-design.com/","https://www.m-lab-design.com/contact/","","",""
"17","大阪市（旭区）","株式会社ゲインジャパン","古川 勝","https://www.gain-japan.com/","https://www.gain-japan.com/contact/","","",""
"18","大阪市（都島区）","株式会社セブンデザイン","三箇 信之","https://www.sevendesign.biz/","https://www.sevendesign.biz/contact/","","",""
"19","大阪市（淀川区）","株式会社レポス","西村 茂紀","http://reposu.net/","http://reposu.net/contact/","","",""
"20","高槻市","株式会社ネコシステム","松本 夏史","https://neko-system.com/","https://neko-system.com/contact/","","",""
"21","大阪市（中央区）","株式会社Ryuki Design","緒方 隆二","https://ryuki-design.jp/","https://ryuki-design.jp/contact/","","",""
"22","大阪市（中央区）","株式会社スニーズ","山内 道幸","https://sneaz.co.jp/","https://sneaz.co.jp/contact/","","",""
"23","大阪市（西区）","株式会社NOVEL","原田 康平","https://novel2020.co.jp/","https://novel2020.co.jp/contact/","","",""
"24","大阪市（阿倍野区）","あべのWeb制作所","溝口 勝樹","https://abenoweb.jp/","https://abenoweb.jp/contact/","","",""
"25","豊中市","ナカムライクウェブ","","https://nakamulikeweb.com/","https://nakamulikeweb.com/contact/","","",""
"26","大阪市（北区）","有限会社カマノデザイン事務所","鎌野 昭一","https://kamano-d.co.jp/","https://kamano-d.co.jp/contact/","","",""
"27","大阪市（北区）","株式会社はなさか(YCOM)","松田 祥宗","https://y-com.info/","https://y-com.info/contact/","","",""
"28","大阪市（北区）","アビッツ株式会社","磯口 邦彦","https://www.abits.jp/","https://www.abits.jp/contact/","","",""
"29","大阪市（中央区）","Qubic株式会社","吉田 倫太郎","https://qu-bic.jp/","https://qu-bic.jp/contact/","","",""
"30","大阪市（西区）","株式会社Side5","","https://side5.jp/","https://side5.jp/form/","","",""
"31","大阪市（北区）","株式会社メディアバーン","大江 勝也","https://mburn.co.jp/","https://mburn.co.jp/contact/","","",""
"32","大阪市（西区）","ケイズクリエイト株式会社","樋口 惠一","https://keiscreate.co.jp/","https://keiscreate.co.jp/contact/","","",""
"33","大阪市（西区）","株式会社イマドキノ。","石田 隆博","https://imadokino.com/","https://imadokino.com/contact/","","",""
